size, number of comparisions
30,148
40,216
50,286
60,356
70,432
80,512
90,592
100,672
110,752
120,832
130,914
140,1004
150,1094
160,1184
170,1274
180,1364
190,1454
200,1544
210,1634
220,1724
230,1814
240,1904
250,1994
260,2088
270,2188
280,2288
290,2388
300,2488
310,2588
320,2688
330,2788
340,2888
350,2988
360,3088
370,3188
380,3288
390,3388
400,3488
410,3588
420,3688
430,3788
440,3888
450,3988
460,4088
470,4188
480,4288
490,4388
500,4488
510,4588
520,4696
530,4806
540,4916
550,5026
560,5136
570,5246
580,5356
590,5466
600,5576
610,5686
620,5796
630,5906
640,6016
650,6126
660,6236
670,6346
680,6456
690,6566
700,6676
710,6786
720,6896
730,7006
740,7116
750,7226
760,7336
770,7446
780,7556
790,7666
800,7776
810,7886
820,7996
